LocationID,Borough,Zone,Latitude,Longitude
48,Manhattan,Clinton East,40.7644228,-73.9923918
68,Manhattan,East Chelsea,40.7464906,-74.0015283
79,Manhattan,East Village,40.7292688,-73.9873613
107,Manhattan,Gramercy,40.7355189,-73.9840794
132,Queens,JFK Airport,40.642947899999996,-73.7793733748521
138,Queens,LaGuardia Airport,40.7757145,-73.87336398511545
141,Manhattan,Lenox Hill West,40.7664366,-73.9590168
142,Manhattan,Lincoln Square East,40.7723194,-73.9844012
161,Manhattan,Midtown Center,40.7622684,-73.9795443
162,Manhattan,Midtown East,40.7598219,-73.9724708
163,Manhattan,Midtown North,40.7622684,-73.9795443
164,Manhattan,Midtown South,40.7498417,-73.984251
170,Manhattan,Murray Hill,40.7481574,-73.97875
186,Manhattan,Madison Sq,40.7120612,-73.9983332
230,Manhattan,Theatre District,40.7312452,-74.0052802
234,Manhattan,Union Sq,40.7359091,-73.9901626
236,Manhattan,Upper East Side North,40.7737016,-73.9641196
237,Manhattan,Upper East Side South,40.7737016,-73.9641196
239,Manhattan,Upper West Side South,40.7870455,-73.9754163
249,Manhattan,West Village,40.7341857,-74.00558
